ogc_fid,time,wkb_geometry,date,hour,minute,second,longitude,latitude
11216,16:20:00.000,POINT (153.42458492968532 -27.958939414172836),2024-01-19,16,20,00.000,153.42458492968532,-27.958939414172836
11217,16:20:02.000,POINT (153.42458428101315 -27.95891980518496),2024-01-19,16,20,02.000,153.42458428101315,-27.95891980518496
11218,16:20:04.000,POINT (153.4245920241277 -27.95889480074645),2024-01-19,16,20,04.000,153.4245920241277,-27.95889480074645
11219,16:20:06.000,POINT (153.42460242542757 -27.95887436180912),2024-01-19,16,20,06.000,153.42460242542757,-27.95887436180912
11220,16:20:08.000,POINT (153.4246103091779 -27.95884826558867),2024-01-19,16,20,08.000,153.4246103091779,-27.95884826558867
11221,16:20:10.000,POINT (153.42462757491361 -27.958830518536924),2024-01-19,16,20,10.000,153.42462757491361,-27.958830518536924
11222,16:20:13.000,POINT (153.42463310623012 -27.95880016521257),2024-01-19,16,20,13.000,153.42463310623012,-27.95880016521257
11223,16:20:15.000,POINT (153.42463656622346 -27.958777705631018),2024-01-19,16,20,15.000,153.42463656622346,-27.958777705631018
11224,16:20:20.000,POINT (153.42463366005177 -27.958754728045058),2024-01-19,16,20,20.000,153.42463366005177,-27.958754728045058
11225,16:20:22.000,POINT (153.4246339488613 -27.95873202334703),2024-01-19,16,20,22.000,153.4246339488613,-27.95873202334703
11226,16:20:25.000,POINT (153.42465775524047 -27.958725878794798),2024-01-19,16,20,25.000,153.42465775524047,-27.958725878794798
11227,16:20:35.000,POINT (153.4246785742 -27.958726360160217),2024-01-19,16,20,35.000,153.4246785742,-27.958726360160217
11228,16:20:53.000,POINT (153.4246593547322 -27.958742616909884),2024-01-19,16,20,53.000,153.4246593547322,-27.958742616909884
11229,16:21:12.000,POINT (153.4246854995593 -27.95877269276883),2024-01-19,16,21,12.000,153.4246854995593,-27.95877269276883
11230,16:21:16.000,POINT (153.4246715477831 -27.958758251463056),2024-01-19,16,21,16.000,153.4246715477831,-27.958758251463056
11231,16:21:19.000,POINT (153.42466299754247 -27.95873320685399),2024-01-19,16,21,19.000,153.42466299754247,-27.95873320685399
11232,16:21:21.000,POINT (153.42466468565294 -27.958708875491812),2024-01-19,16,21,21.000,153.42466468565294,-27.958708875491812
11233,16:21:23.000,POINT (153.42466661411436 -27.9586835692444),2024-01-19,16,21,23.000,153.42466661411436,-27.9586835692444
11234,16:21:25.000,POINT (153.4246752171422 -27.958663282971223),2024-01-19,16,21,25.000,153.4246752171422,-27.958663282971223
11235,16:21:27.000,POINT (153.42467989857573 -27.958639185647087),2024-01-19,16,21,27.000,153.42467989857573,-27.958639185647087
11236,16:21:29.000,POINT (153.42468502530397 -27.958614099235877),2024-01-19,16,21,29.000,153.42468502530397,-27.958614099235877
11237,16:21:31.000,POINT (153.42469183724904 -27.95859123117306),2024-01-19,16,21,31.000,153.42469183724904,-27.95859123117306
11238,16:21:33.000,POINT (153.42470256700082 -27.9585727585996),2024-01-19,16,21,33.000,153.42470256700082,-27.9585727585996
11239,16:21:36.000,POINT (153.42471874264638 -27.95855371972633),2024-01-19,16,21,36.000,153.42471874264638,-27.95855371972633
11240,16:21:39.000,POINT (153.42473435853924 -27.95854067757016),2024-01-19,16,21,39.000,153.42473435853924,-27.95854067757016
11241,16:21:42.000,POINT (153.4247517852297 -27.958520519290158),2024-01-19,16,21,42.000,153.4247517852297,-27.958520519290158
11242,16:21:45.000,POINT (153.42477312073132 -27.958504785997174),2024-01-19,16,21,45.000,153.42477312073132,-27.958504785997174
11243,16:21:47.000,POINT (153.424787317704 -27.95848662574201),2024-01-19,16,21,47.000,153.424787317704,-27.95848662574201
11244,16:21:49.000,POINT (153.42479846565658 -27.95846959351377),2024-01-19,16,21,49.000,153.42479846565658,-27.95846959351377
11245,16:21:51.000,POINT (153.42481280200806 -27.958453202078147),2024-01-19,16,21,51.000,153.42481280200806,-27.958453202078147
