ogc_fid,time,wkb_geometry
11216,2024-01-19 16:20:00.000 +1100,POINT (153.42458492968532 -27.958939414172836)
11217,2024-01-19 16:20:02.000 +1100,POINT (153.42458428101315 -27.95891980518496)
11218,2024-01-19 16:20:04.000 +1100,POINT (153.4245920241277 -27.95889480074645)
11219,2024-01-19 16:20:06.000 +1100,POINT (153.42460242542757 -27.95887436180912)
11220,2024-01-19 16:20:08.000 +1100,POINT (153.4246103091779 -27.95884826558867)
11221,2024-01-19 16:20:10.000 +1100,POINT (153.42462757491361 -27.958830518536924)
11222,2024-01-19 16:20:13.000 +1100,POINT (153.42463310623012 -27.95880016521257)
11223,2024-01-19 16:20:15.000 +1100,POINT (153.42463656622346 -27.958777705631018)
11224,2024-01-19 16:20:20.000 +1100,POINT (153.42463366005177 -27.958754728045058)
11225,2024-01-19 16:20:22.000 +1100,POINT (153.4246339488613 -27.95873202334703)
11226,2024-01-19 16:20:25.000 +1100,POINT (153.42465775524047 -27.958725878794798)
11227,2024-01-19 16:20:35.000 +1100,POINT (153.4246785742 -27.958726360160217)
11228,2024-01-19 16:20:53.000 +1100,POINT (153.4246593547322 -27.958742616909884)
11229,2024-01-19 16:21:12.000 +1100,POINT (153.4246854995593 -27.95877269276883)
11230,2024-01-19 16:21:16.000 +1100,POINT (153.4246715477831 -27.958758251463056)
11231,2024-01-19 16:21:19.000 +1100,POINT (153.42466299754247 -27.95873320685399)
11232,2024-01-19 16:21:21.000 +1100,POINT (153.42466468565294 -27.958708875491812)
11233,2024-01-19 16:21:23.000 +1100,POINT (153.42466661411436 -27.9586835692444)
11234,2024-01-19 16:21:25.000 +1100,POINT (153.4246752171422 -27.958663282971223)
11235,2024-01-19 16:21:27.000 +1100,POINT (153.42467989857573 -27.958639185647087)
11236,2024-01-19 16:21:29.000 +1100,POINT (153.42468502530397 -27.958614099235877)
11237,2024-01-19 16:21:31.000 +1100,POINT (153.42469183724904 -27.95859123117306)
11238,2024-01-19 16:21:33.000 +1100,POINT (153.42470256700082 -27.9585727585996)
11239,2024-01-19 16:21:36.000 +1100,POINT (153.42471874264638 -27.95855371972633)
11240,2024-01-19 16:21:39.000 +1100,POINT (153.42473435853924 -27.95854067757016)
11241,2024-01-19 16:21:42.000 +1100,POINT (153.4247517852297 -27.958520519290158)
11242,2024-01-19 16:21:45.000 +1100,POINT (153.42477312073132 -27.958504785997174)
11243,2024-01-19 16:21:47.000 +1100,POINT (153.424787317704 -27.95848662574201)
11244,2024-01-19 16:21:49.000 +1100,POINT (153.42479846565658 -27.95846959351377)
11245,2024-01-19 16:21:51.000 +1100,POINT (153.42481280200806 -27.958453202078147)
11246,2024-01-19 16:21:54.000 +1100,POINT (153.42483495330822 -27.958430798085214)
11247,2024-01-19 16:21:56.000 +1100,POINT (153.42485306856668 -27.958412299193853)
11248,2024-01-19 16:21:58.000 +1100,POINT (153.42487872854542 -27.958396083499732)
11249,2024-01-19 16:22:00.000 +1100,POINT (153.4249056870302 -27.958381224176982)
11250,2024-01-19 16:22:02.000 +1100,POINT (153.4249175580999 -27.9583628390418)
11251,2024-01-19 16:22:04.000 +1100,POINT (153.42492392482097 -27.958344193171374)
11252,2024-01-19 16:22:06.000 +1100,POINT (153.4249280142036 -27.958321905035657)
11253,2024-01-19 16:22:09.000 +1100,POINT (153.42492942304608 -27.95829661826872)
11254,2024-01-19 16:22:11.000 +1100,POINT (153.42493641164936 -27.958273357966384)
11255,2024-01-19 16:22:13.000 +1100,POINT (153.4249432697464 -27.95824988417681)
11256,2024-01-19 16:22:15.000 +1100,POINT (153.42494470859486 -27.958228061662606)
11257,2024-01-19 16:22:17.000 +1100,POINT (153.42495307036353 -27.958211239275926)
11258,2024-01-19 16:22:20.000 +1100,POINT (153.4249715218342 -27.9581887814846)
11259,2024-01-19 16:22:22.000 +1100,POINT (153.4249786004224 -27.95816593640195)
11260,2024-01-19 16:22:24.000 +1100,POINT (153.42499194534167 -27.958148108476163)
11261,2024-01-19 16:22:29.000 +1100,POINT (153.4250051201443 -27.95813333751345)
11262,2024-01-19 16:22:40.000 +1100,POINT (153.42502768831596 -27.95811013887244)
11263,2024-01-19 16:22:50.000 +1100,POINT (153.42501008049487 -27.95812232652408)
11264,2024-01-19 16:23:03.000 +1100,POINT (153.4250139127597 -27.958103101939766)
11265,2024-01-19 16:23:06.000 +1100,POINT (153.42501806299302 -27.9580782006582)
11266,2024-01-19 16:23:10.000 +1100,POINT (153.42502540448913 -27.958055606622057)
11267,2024-01-19 16:23:20.000 +1100,POINT (153.42505273756774 -27.958053443974293)
11268,2024-01-19 16:23:41.000 +1100,POINT (153.42502411267188 -27.95807632657764)
11269,2024-01-19 16:23:50.000 +1100,POINT (153.4250452098939 -27.95805964702963)
11270,2024-01-19 16:23:56.000 +1100,POINT (153.42506227784187 -27.958049375818536)
11271,2024-01-19 16:24:03.000 +1100,POINT (153.4250649852813 -27.958024072299075)
11272,2024-01-19 16:24:06.000 +1100,POINT (153.4250653460002 -27.95800124019153)
11273,2024-01-19 16:24:08.000 +1100,POINT (153.4250717009529 -27.957983875832326)
11274,2024-01-19 16:24:11.000 +1100,POINT (153.42506317061344 -27.95795897078497)
11275,2024-01-19 16:24:14.000 +1100,POINT (153.42508078838026 -27.957949538348824)
11276,2024-01-19 16:24:16.000 +1100,POINT (153.4251065297067 -27.95793125254241)
11277,2024-01-19 16:24:18.000 +1100,POINT (153.42512860554015 -27.957919703062764)
11278,2024-01-19 16:24:20.000 +1100,POINT (153.4251511633292 -27.957892699764937)
11279,2024-01-19 16:24:22.000 +1100,POINT (153.42517059815677 -27.957876315951985)
11280,2024-01-19 16:24:24.000 +1100,POINT (153.42519834872303 -27.957862902915046)
11281,2024-01-19 16:24:26.000 +1100,POINT (153.42522365737724 -27.957863150777367)
11282,2024-01-19 16:24:28.000 +1100,POINT (153.42524786247947 -27.957863805731133)
11283,2024-01-19 16:24:30.000 +1100,POINT (153.42528184112962 -27.95785996263119)
11284,2024-01-19 16:24:32.000 +1100,POINT (153.4253110803979 -27.957855171678315)
11285,2024-01-19 16:24:34.000 +1100,POINT (153.42534641730978 -27.957856600475623)
11286,2024-01-19 16:24:36.000 +1100,POINT (153.42537566746734 -27.957861374581686)
11287,2024-01-19 16:24:38.000 +1100,POINT (153.42540449405303 -27.957862677082904)
11288,2024-01-19 16:24:41.000 +1100,POINT (153.4254240800938 -27.957878068656697)
11289,2024-01-19 16:24:43.000 +1100,POINT (153.42544441706846 -27.957885700978903)
11290,2024-01-19 16:24:46.000 +1100,POINT (153.42546881952836 -27.95789717505414)
11291,2024-01-19 16:24:49.000 +1100,POINT (153.4254946376747 -27.95791329005788)
11292,2024-01-19 16:24:51.000 +1100,POINT (153.4255159567952 -27.957906950391106)
11293,2024-01-19 16:24:53.000 +1100,POINT (153.4255512372939 -27.957909123055604)
11294,2024-01-19 16:24:54.000 +1100,POINT (153.42557069482663 -27.957915914211476)
11295,2024-01-19 16:24:57.000 +1100,POINT (153.42559820673767 -27.95792522768043)
11296,2024-01-19 16:24:58.000 +1100,POINT (153.4256256979535 -27.957915604109495)
11297,2024-01-19 16:24:59.000 +1100,POINT (153.42564742165155 -27.957910422758996)
11298,2024-01-19 16:25:01.000 +1100,POINT (153.42567635932377 -27.957920987486983)
11299,2024-01-19 16:25:03.000 +1100,POINT (153.4256977420894 -27.95792940756131)
11300,2024-01-19 16:25:05.000 +1100,POINT (153.42572460872378 -27.95793572845912)
11301,2024-01-19 16:25:07.000 +1100,POINT (153.42574517753488 -27.957955281054424)
11302,2024-01-19 16:25:10.000 +1100,POINT (153.42576602307508 -27.957945625876548)
11303,2024-01-19 16:25:25.000 +1100,POINT (153.4257484235942 -27.957956702200413)
11304,2024-01-19 16:25:28.000 +1100,POINT (153.42577294587858 -27.957958391414152)
11305,2024-01-19 16:25:31.000 +1100,POINT (153.42579721685192 -27.957951097326184)
11306,2024-01-19 16:25:34.000 +1100,POINT (153.42582167539553 -27.95794925591472)
11307,2024-01-19 16:25:54.000 +1100,POINT (153.42581615313722 -27.957972254506764)
11308,2024-01-19 16:26:00.000 +1100,POINT (153.4258423325385 -27.95797591158172)
11309,2024-01-19 16:26:06.000 +1100,POINT (153.42585685048513 -27.957992742239323)
11310,2024-01-19 16:26:10.000 +1100,POINT (153.42589456321355 -27.957998744909606)
11311,2024-01-19 16:26:13.000 +1100,POINT (153.42590945685464 -27.958015527187655)
11312,2024-01-19 16:26:15.000 +1100,POINT (153.4259182293193 -27.958037230982065)
11313,2024-01-19 16:26:17.000 +1100,POINT (153.42595609692836 -27.958037875307163)
11314,2024-01-19 16:26:19.000 +1100,POINT (153.42598497923788 -27.95804271004684)
11315,2024-01-19 16:26:20.000 +1100,POINT (153.42601464780256 -27.958039742733718)
11316,2024-01-19 16:26:22.000 +1100,POINT (153.42604040211276 -27.958045026241592)
11317,2024-01-19 16:26:25.000 +1100,POINT (153.42606536003478 -27.958029999037304)
11318,2024-01-19 16:26:27.000 +1100,POINT (153.42609137764802 -27.95802440741885)
11319,2024-01-19 16:26:29.000 +1100,POINT (153.4261262798651 -27.958035478463888)
11320,2024-01-19 16:26:30.000 +1100,POINT (153.4261490224648 -27.958036392063477)
11321,2024-01-19 16:26:33.000 +1100,POINT (153.42616533584035 -27.958020071610466)
11322,2024-01-19 16:26:37.000 +1100,POINT (153.42617981206791 -27.958033028882156)
11323,2024-01-19 16:26:40.000 +1100,POINT (153.4262016337404 -27.95804379773299)
11324,2024-01-19 16:26:48.000 +1100,POINT (153.42622272640995 -27.958038312366302)
11325,2024-01-19 16:26:51.000 +1100,POINT (153.42624392636472 -27.958037423487966)
11326,2024-01-19 16:27:00.000 +1100,POINT (153.42623512210588 -27.958054014322087)
11327,2024-01-19 16:27:11.000 +1100,POINT (153.426255984438 -27.958075203906315)
11328,2024-01-19 16:27:14.000 +1100,POINT (153.42627392661518 -27.958084189726243)
11329,2024-01-19 16:27:17.000 +1100,POINT (153.42629844925725 -27.958078753088607)
11330,2024-01-19 16:27:20.000 +1100,POINT (153.42631007476243 -27.958093858672928)
11331,2024-01-19 16:27:24.000 +1100,POINT (153.42631653746022 -27.95811586964764)
11332,2024-01-19 16:27:29.000 +1100,POINT (153.42631824886323 -27.958095755189767)
11333,2024-01-19 16:27:31.000 +1100,POINT (153.4263193419382 -27.95811722734325)
11334,2024-01-19 16:27:37.000 +1100,POINT (153.42632510540986 -27.958136735172324)
11335,2024-01-19 16:27:50.000 +1100,POINT (153.42634692456716 -27.958081466357516)
11336,2024-01-19 16:27:58.000 +1100,POINT (153.42636363020685 -27.958104225049922)
11337,2024-01-19 16:28:12.000 +1100,POINT (153.42633441932753 -27.958124197704006)
11338,2024-01-19 16:28:18.000 +1100,POINT (153.4263426996104 -27.958105865758178)
11339,2024-01-19 16:28:32.000 +1100,POINT (153.4263075755172 -27.95808469782519)
11340,2024-01-19 16:28:46.000 +1100,POINT (153.4263315484317 -27.95808307678481)
11341,2024-01-19 16:28:55.000 +1100,POINT (153.42616893486104 -27.957999684838196)
11342,2024-01-19 16:28:56.000 +1100,POINT (153.42613139386532 -27.95799623837838)
11343,2024-01-19 16:28:57.000 +1100,POINT (153.42608974901523 -27.95799181983681)
11344,2024-01-19 16:28:58.000 +1100,POINT (153.42603997432727 -27.957995363071845)
11345,2024-01-19 16:28:59.000 +1100,POINT (153.4259957370195 -27.958000052170977)
11346,2024-01-19 16:29:00.000 +1100,POINT (153.42594896599954 -27.958003025140684)
11347,2024-01-19 16:29:01.000 +1100,POINT (153.4259000425934 -27.958004825648718)
11348,2024-01-19 16:29:02.000 +1100,POINT (153.42582899316616 -27.958024753809166)
